iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 18, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,061,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","55,112,922,924.56","7.82","55,112,922,924.56","303,886,871.00","181.36","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","49,430,340,146.00","7.02","49,430,340,146.00","184,827,775.00","267.44","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","45,712,873,921.44","6.49","45,712,873,921.44","92,575,536.00","493.79","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","26,899,758,929.05","3.82","26,899,758,929.05","120,870,631.00","222.55","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","20,595,265,852.20","2.92","20,595,265,852.20","72,447,115.00","284.28","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","19,946,079,016.50","2.83","19,946,079,016.50","58,578,793.00","340.50","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","16,573,095,500.00","2.35","16,573,095,500.00","58,159,375.00","284.96","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","16,145,466,911.28","2.29","16,145,466,911.28","27,013,112.00","597.69","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","14,023,129,762.50","1.99","14,023,129,762.50","34,948,610.00","401.25","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,518,778,858.98","1.64","11,518,778,858.98","22,837,954.00","504.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","10,253,704,743.47","1.46","10,253,704,743.47","34,246,367.00","299.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","10,199,017,413.90","1.45","10,199,017,413.90","9,901,478.00","1,030.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","6,794,889,861.24","0.96","6,794,889,861.24","21,156,018.00","321.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","6,320,030,449.42","0.90","6,320,030,449.42","53,096,114.00","119.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","6,037,683,187.86","0.86","6,037,683,187.86","52,920,354.00","114.09","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","5,998,861,600.00","0.85","5,998,861,600.00","29,994,308.00","200.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","5,542,503,107.15","0.79","5,542,503,107.15","54,665,185.00","101.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","5,424,037,318.08","0.77","5,424,037,318.08","10,280,976.00","527.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","5,145,469,990.57","0.73","5,145,469,990.57","22,001,411.00","233.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","4,943,721,072.36","0.70","4,943,721,072.36","5,523,217.00","895.08","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","4,739,559,333.92","0.67","4,739,559,333.92","28,324,624.00","167.33","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","4,654,532,588.06","0.66","4,654,532,588.06","20,211,614.00","230.29","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","4,550,825,183.51","0.65","4,550,825,183.51","20,639,599.00","220.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","4,382,637,225.60","0.62","4,382,637,225.60","84,869,040.00","51.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","4,288,123,983.04","0.61","4,288,123,983.04","29,172,896.00","146.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","4,169,358,000.96","0.59","4,169,358,000.96","12,391,102.00","336.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","3,909,449,359.53","0.55","3,909,449,359.53","13,207,153.00","296.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","3,815,833,389.93","0.54","3,815,833,389.93","49,319,289.00","77.37","United States","NASDAQ","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","3,682,148,657.62","0.52","3,682,148,657.62","23,969,201.00","153.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
